Boscastle
GMT (+0:00)
Date/Time,Height(m)
01 January 2020 02:34:00,1.67
01 January 2020 09:13:00,6.37
01 January 2020 14:59:00,1.82
01 January 2020 21:33:00,6.00
02 January 2020 03:15:00,1.99
02 January 2020 09:53:00,6.06
02 January 2020 15:44:00,2.12
02 January 2020 22:16:00,5.72
03 January 2020 04:02:00,2.29
03 January 2020 10:37:00,5.77
03 January 2020 16:33:00,2.38
03 January 2020 23:05:00,5.50
04 January 2020 04:56:00,2.53
04 January 2020 11:32:00,5.54
04 January 2020 17:33:00,2.56
05 January 2020 00:07:00,5.36
05 January 2020 06:03:00,2.66
05 January 2020 12:38:00,5.43
05 January 2020 18:42:00,2.60
06 January 2020 01:18:00,5.39
06 January 2020 07:15:00,2.62
06 January 2020 13:50:00,5.50
06 January 2020 19:50:00,2.45
07 January 2020 02:27:00,5.61
07 January 2020 08:21:00,2.38
07 January 2020 14:56:00,5.74
07 January 2020 20:47:00,2.16
08 January 2020 03:26:00,5.97
08 January 2020 09:16:00,2.02
08 January 2020 15:53:00,6.09
08 January 2020 21:37:00,1.77
09 January 2020 04:19:00,6.40
09 January 2020 10:03:00,1.59
09 January 2020 16:44:00,6.47
09 January 2020 22:22:00,1.36
10 January 2020 05:08:00,6.83
10 January 2020 10:47:00,1.19
10 January 2020 17:31:00,6.83
10 January 2020 23:04:00,0.99
11 January 2020 05:53:00,7.21
11 January 2020 11:28:00,0.83
11 January 2020 18:16:00,7.14
11 January 2020 23:45:00,0.67
12 January 2020 06:38:00,7.50
12 January 2020 12:11:00,0.59
12 January 2020 19:00:00,7.32
13 January 2020 00:28:00,0.50
13 January 2020 07:21:00,7.63
13 January 2020 12:53:00,0.50
13 January 2020 19:43:00,7.36
14 January 2020 01:10:00,0.48
14 January 2020 08:04:00,7.61
14 January 2020 13:36:00,0.55
14 January 2020 20:26:00,7.28
15 January 2020 01:55:00,0.61
15 January 2020 08:48:00,7.43
15 January 2020 14:23:00,0.76
15 January 2020 21:11:00,7.05
16 January 2020 02:43:00,0.90
16 January 2020 09:34:00,7.11
16 January 2020 15:13:00,1.09
16 January 2020 21:59:00,6.72
17 January 2020 03:36:00,1.28
17 January 2020 10:24:00,6.70
17 January 2020 16:09:00,1.48
17 January 2020 22:53:00,6.35
18 January 2020 04:36:00,1.70
18 January 2020 11:21:00,6.27
18 January 2020 17:11:00,1.87
18 January 2020 23:54:00,6.00
19 January 2020 05:45:00,2.06
19 January 2020 12:28:00,5.94
19 January 2020 18:24:00,2.13
20 January 2020 01:07:00,5.84
20 January 2020 07:02:00,2.24
20 January 2020 13:43:00,5.78
20 January 2020 19:40:00,2.21
21 January 2020 02:23:00,5.84
21 January 2020 08:18:00,2.21
21 January 2020 14:58:00,5.84
21 January 2020 20:50:00,2.07
22 January 2020 03:32:00,6.05
22 January 2020 09:23:00,1.98
22 January 2020 16:01:00,6.05
22 January 2020 21:46:00,1.83
23 January 2020 04:28:00,6.33
23 January 2020 10:14:00,1.70
23 January 2020 16:54:00,6.32
23 January 2020 22:33:00,1.54
24 January 2020 05:16:00,6.63
24 January 2020 10:58:00,1.42
24 January 2020 17:38:00,6.56
24 January 2020 23:13:00,1.31
25 January 2020 05:58:00,6.86
25 January 2020 11:37:00,1.20
25 January 2020 18:19:00,6.74
25 January 2020 23:51:00,1.12
26 January 2020 06:37:00,7.03
26 January 2020 12:13:00,1.06
26 January 2020 18:55:00,6.85
27 January 2020 00:26:00,1.02
27 January 2020 07:11:00,7.09
27 January 2020 12:46:00,1.02
27 January 2020 19:28:00,6.87
28 January 2020 00:58:00,1.03
28 January 2020 07:44:00,7.06
28 January 2020 13:19:00,1.07
28 January 2020 20:01:00,6.81
29 January 2020 01:32:00,1.12
29 January 2020 08:16:00,6.94
29 January 2020 13:53:00,1.21
29 January 2020 20:32:00,6.65
30 January 2020 02:06:00,1.30
30 January 2020 08:48:00,6.74
30 January 2020 14:26:00,1.41
30 January 2020 21:04:00,6.45
31 January 2020 02:40:00,1.53
31 January 2020 09:20:00,6.49
31 January 2020 15:01:00,1.67
31 January 2020 21:37:00,6.20
01 February 2020 03:17:00,1.81
01 February 2020 09:54:00,6.19
01 February 2020 15:41:00,1.97
01 February 2020 22:15:00,5.91
02 February 2020 04:00:00,2.14
02 February 2020 10:36:00,5.86
02 February 2020 16:28:00,2.27
02 February 2020 23:02:00,5.63
03 February 2020 04:54:00,2.44
03 February 2020 11:29:00,5.55
03 February 2020 17:27:00,2.53
04 February 2020 00:03:00,5.43
04 February 2020 06:03:00,2.65
04 February 2020 12:40:00,5.37
04 February 2020 18:43:00,2.63
05 February 2020 01:23:00,5.42
05 February 2020 07:27:00,2.62
05 February 2020 14:04:00,5.44
05 February 2020 20:03:00,2.47
06 February 2020 02:44:00,5.69
06 February 2020 08:42:00,2.31
06 February 2020 15:19:00,5.77
06 February 2020 21:09:00,2.07
07 February 2020 03:52:00,6.16
07 February 2020 09:42:00,1.81
07 February 2020 16:22:00,6.26
