Plymouth (Devonport)
GMT (+0:00)
Date/Time,Height(m)
01 January 2020 03:13:00,1.67
01 January 2020 09:22:00,4.90
01 January 2020 15:41:00,1.68
01 January 2020 21:48:00,4.52
02 January 2020 03:54:00,1.92
02 January 2020 10:04:00,4.71
02 January 2020 16:26:00,1.90
02 January 2020 22:35:00,4.36
03 January 2020 04:40:00,2.14
03 January 2020 10:51:00,4.53
03 January 2020 17:16:00,2.08
03 January 2020 23:28:00,4.24
04 January 2020 05:35:00,2.29
04 January 2020 11:48:00,4.40
04 January 2020 18:16:00,2.19
05 January 2020 00:33:00,4.19
05 January 2020 06:42:00,2.36
05 January 2020 12:56:00,4.34
05 January 2020 19:23:00,2.18
06 January 2020 01:42:00,4.26
06 January 2020 07:53:00,2.28
06 January 2020 14:05:00,4.40
06 January 2020 20:28:00,2.05
07 January 2020 02:45:00,4.43
07 January 2020 08:57:00,2.07
07 January 2020 15:07:00,4.55
07 January 2020 21:25:00,1.83
08 January 2020 03:40:00,4.67
08 January 2020 09:53:00,1.76
08 January 2020 16:01:00,4.75
08 January 2020 22:15:00,1.54
09 January 2020 04:29:00,4.95
09 January 2020 10:42:00,1.42
09 January 2020 16:51:00,4.95
09 January 2020 23:02:00,1.25
10 January 2020 05:15:00,5.20
10 January 2020 11:29:00,1.09
10 January 2020 17:38:00,5.13
10 January 2020 23:47:00,0.99
11 January 2020 05:59:00,5.43
11 January 2020 12:13:00,0.81
11 January 2020 18:23:00,5.27
12 January 2020 00:30:00,0.77
12 January 2020 06:43:00,5.59
12 January 2020 12:57:00,0.62
12 January 2020 19:09:00,5.34
13 January 2020 01:14:00,0.68
13 January 2020 07:27:00,5.66
13 January 2020 13:41:00,0.56
13 January 2020 19:52:00,5.34
14 January 2020 01:57:00,0.69
14 January 2020 08:09:00,5.65
14 January 2020 14:25:00,0.63
14 January 2020 20:36:00,5.27
15 January 2020 02:42:00,0.82
15 January 2020 08:54:00,5.54
15 January 2020 15:11:00,0.81
15 January 2020 21:22:00,5.13
16 January 2020 03:29:00,1.06
16 January 2020 09:41:00,5.35
16 January 2020 16:00:00,1.09
16 January 2020 22:12:00,4.95
17 January 2020 04:21:00,1.37
17 January 2020 10:33:00,5.10
17 January 2020 16:56:00,1.40
17 January 2020 23:09:00,4.75
18 January 2020 05:20:00,1.67
18 January 2020 11:33:00,4.85
18 January 2020 17:57:00,1.68
19 January 2020 00:14:00,4.59
19 January 2020 06:28:00,1.91
19 January 2020 12:43:00,4.65
19 January 2020 19:09:00,1.85
20 January 2020 01:28:00,4.54
20 January 2020 07:44:00,1.98
20 January 2020 13:58:00,4.57
20 January 2020 20:21:00,1.88
21 January 2020 02:40:00,4.59
21 January 2020 08:58:00,1.91
21 January 2020 15:10:00,4.60
21 January 2020 21:29:00,1.77
22 January 2020 03:44:00,4.74
22 January 2020 10:00:00,1.72
22 January 2020 16:10:00,4.71
22 January 2020 22:24:00,1.60
23 January 2020 04:37:00,4.92
23 January 2020 10:52:00,1.48
23 January 2020 17:02:00,4.85
23 January 2020 23:11:00,1.40
24 January 2020 05:22:00,5.10
24 January 2020 11:37:00,1.27
24 January 2020 17:45:00,4.97
24 January 2020 23:52:00,1.25
25 January 2020 06:03:00,5.23
25 January 2020 12:17:00,1.11
25 January 2020 18:26:00,5.05
26 January 2020 00:32:00,1.14
26 January 2020 06:41:00,5.32
26 January 2020 12:55:00,1.01
26 January 2020 19:02:00,5.09
27 January 2020 01:07:00,1.09
27 January 2020 07:15:00,5.35
27 January 2020 13:28:00,1.00
27 January 2020 19:35:00,5.08
28 January 2020 01:40:00,1.12
28 January 2020 07:48:00,5.32
28 January 2020 14:02:00,1.06
28 January 2020 20:09:00,5.02
29 January 2020 02:13:00,1.21
29 January 2020 08:21:00,5.24
29 January 2020 14:35:00,1.19
29 January 2020 20:41:00,4.92
30 January 2020 02:46:00,1.37
30 January 2020 08:54:00,5.11
30 January 2020 15:09:00,1.37
30 January 2020 21:15:00,4.79
31 January 2020 03:20:00,1.56
31 January 2020 09:27:00,4.95
31 January 2020 15:43:00,1.58
31 January 2020 21:49:00,4.64
01 February 2020 03:55:00,1.78
01 February 2020 10:04:00,4.76
01 February 2020 16:23:00,1.82
01 February 2020 22:31:00,4.47
02 February 2020 04:39:00,2.02
02 February 2020 10:50:00,4.55
02 February 2020 17:11:00,2.05
02 February 2020 23:22:00,4.32
03 February 2020 05:34:00,2.23
03 February 2020 11:48:00,4.37
03 February 2020 18:11:00,2.21
04 February 2020 00:29:00,4.24
04 February 2020 06:45:00,2.33
04 February 2020 13:02:00,4.28
04 February 2020 19:26:00,2.25
05 February 2020 01:47:00,4.30
05 February 2020 08:07:00,2.24
05 February 2020 14:23:00,4.35
05 February 2020 20:43:00,2.09
06 February 2020 03:01:00,4.52
06 February 2020 09:20:00,1.95
06 February 2020 15:33:00,4.56
06 February 2020 21:47:00,1.78
07 February 2020 04:02:00,4.83
07 February 2020 10:20:00,1.54
07 February 2020 16:32:00,4.84
07 February 2020 22:43:00,1.38
08 February 2020 04:56:00,5.18
08 February 2020 11:13:00,1.09
08 February 2020 17:25:00,5.12
08 February 2020 23:33:00,0.97
09 February 2020 05:46:00,5.49
09 February 2020 12:01:00,0.68
09 February 2020 18:13:00,5.36
10 February 2020 00:19:00,0.62
10 February 2020 06:32:00,5.73
10 February 2020 12:45:00,0.37
10 February 2020 18:58:00,5.51
11 February 2020 01:03:00,0.40
11 February 2020 07:16:00,5.85
11 February 2020 13:29:00,0.23
11 February 2020 19:42:00,5.57
12 February 2020 01:46:00,0.34
12 February 2020 07:59:00,5.86
12 February 2020 14:11:00,0.27
12 February 2020 20:23:00,5.53
13 February 2020 02:28:00,0.45
13 February 2020 08:41:00,5.74
13 February 2020 14:54:00,0.50
13 February 2020 21:05:00,5.38
14 February 2020 03:12:00,0.74
14 February 2020 09:24:00,5.50
14 February 2020 15:39:00,0.86
14 February 2020 21:49:00,5.16
15 February 2020 03:58:00,1.13
15 February 2020 10:09:00,5.18
15 February 2020 16:25:00,1.29
15 February 2020 22:36:00,4.88
16 February 2020 04:48:00,1.56
16 February 2020 11:00:00,4.83
16 February 2020 17:20:00,1.72
16 February 2020 23:34:00,4.60
17 February 2020 05:51:00,1.95
17 February 2020 12:06:00,4.50
17 February 2020 18:30:00,2.06
18 February 2020 00:49:00,4.40
18 February 2020 07:11:00,2.19
18 February 2020 13:29:00,4.31
18 February 2020 19:51:00,2.22
19 February 2020 02:13:00,4.36
19 February 2020 08:37:00,2.20
19 February 2020 14:54:00,4.31
19 February 2020 21:11:00,2.14
20 February 2020 03:28:00,4.50
20 February 2020 09:49:00,1.99
20 February 2020 16:01:00,4.47
20 February 2020 22:12:00,1.92
21 February 2020 04:25:00,4.73
21 February 2020 10:42:00,1.70
21 February 2020 16:52:00,4.68
21 February 2020 23:00:00,1.64
22 February 2020 05:09:00,4.95
22 February 2020 11:25:00,1.42
22 February 2020 17:33:00,4.87
22 February 2020 23:39:00,1.40
23 February 2020 05:47:00,5.14
23 February 2020 12:02:00,1.18
23 February 2020 18:10:00,5.02
24 February 2020 00:15:00,1.18
24 February 2020 06:23:00,5.29
24 February 2020 12:35:00,1.00
24 February 2020 18:43:00,5.13
25 February 2020 00:47:00,1.04
25 February 2020 06:55:00,5.38
25 February 2020 13:07:00,0.90
25 February 2020 19:14:00,5.19
26 February 2020 01:18:00,0.98
26 February 2020 07:26:00,5.40
26 February 2020 13:37:00,0.90
26 February 2020 19:44:00,5.18
27 February 2020 01:48:00,1.01
27 February 2020 07:56:00,5.35
27 February 2020 14:07:00,0.98
27 February 2020 20:13:00,5.12
28 February 2020 02:18:00,1.11
28 February 2020 08:25:00,5.26
28 February 2020 14:36:00,1.13
28 February 2020 20:42:00,5.02
29 February 2020 02:47:00,1.28
29 February 2020 08:54:00,5.10
29 February 2020 15:06:00,1.36
29 February 2020 21:12:00,4.86
01 March 2020 03:20:00,1.53
01 March 2020 09:27:00,4.89
01 March 2020 15:41:00,1.63
01 March 2020 21:48:00,4.68
02 March 2020 03:58:00,1.79
02 March 2020 10:06:00,4.66
02 March 2020 16:22:00,1.91
02 March 2020 22:31:00,4.50
03 March 2020 04:46:00,2.06
03 March 2020 10:58:00,4.42
03 March 2020 17:17:00,2.16
03 March 2020 23:33:00,4.34
04 March 2020 05:55:00,2.26
04 March 2020 12:14:00,4.24
04 March 2020 18:36:00,2.32
05 March 2020 00:59:00,4.29
05 March 2020 07:27:00,2.27
05 March 2020 13:47:00,4.24
05 March 2020 20:05:00,2.23
06 March 2020 02:26:00,4.46
06 March 2020 08:53:00,2.00
06 March 2020 15:10:00,4.47
06 March 2020 21:23:00,1.88
07 March 2020 03:39:00,4.82
07 March 2020 10:01:00,1.52
07 March 2020 16:15:00,4.83
07 March 2020 22:24:00,1.38
08 March 2020 04:37:00,5.22
08 March 2020 10:55:00,0.99
08 March 2020 17:08:00,5.18
08 March 2020 23:15:00,0.89
09 March 2020 05:28:00,5.57
09 March 2020 11:43:00,0.52
09 March 2020 17:57:00,5.47
10 March 2020 00:02:00,0.46
10 March 2020 06:16:00,5.83
10 March 2020 12:28:00,0.18
10 March 2020 18:42:00,5.67
11 March 2020 00:46:00,0.19
11 March 2020 07:00:00,5.95
11 March 2020 13:10:00,0.03
11 March 2020 19:25:00,5.75
12 March 2020 01:28:00,0.11
12 March 2020 07:42:00,5.94
12 March 2020 13:51:00,0.09
12 March 2020 20:04:00,5.71
13 March 2020 02:09:00,0.24
13 March 2020 08:22:00,5.79
13 March 2020 14:31:00,0.36
13 March 2020 20:43:00,5.54
14 March 2020 02:51:00,0.58
14 March 2020 09:02:00,5.51
14 March 2020 15:13:00,0.79
14 March 2020 21:23:00,5.29
15 March 2020 03:34:00,1.03
15 March 2020 09:44:00,5.15
15 March 2020 15:57:00,1.30
15 March 2020 22:07:00,4.95
16 March 2020 04:22:00,1.54
16 March 2020 10:32:00,4.74
16 March 2020 16:47:00,1.81
16 March 2020 23:00:00,4.60
17 March 2020 05:21:00,2.01
17 March 2020 11:35:00,4.35
17 March 2020 17:53:00,2.24
18 March 2020 00:13:00,4.31
18 March 2020 06:42:00,2.33
18 March 2020 13:04:00,4.11
18 March 2020 19:24:00,2.46
19 March 2020 01:48:00,4.22
19 March 2020 08:20:00,2.34
19 March 2020 14:41:00,4.14
19 March 2020 20:54:00,2.37
20 March 2020 03:09:00,4.36
20 March 2020 09:34:00,2.11
20 March 2020 15:48:00,4.35
20 March 2020 21:56:00,2.10
21 March 2020 04:05:00,4.61
21 March 2020 10:24:00,1.80
21 March 2020 16:36:00,4.60
21 March 2020 22:41:00,1.79
22 March 2020 04:48:00,4.86
22 March 2020 11:04:00,1.49
22 March 2020 17:14:00,4.83
22 March 2020 23:18:00,1.49
23 March 2020 05:25:00,5.07
23 March 2020 11:38:00,1.21
23 March 2020 17:47:00,5.02
23 March 2020 23:51:00,1.23
24 March 2020 05:58:00,5.24
24 March 2020 12:10:00,1.01
24 March 2020 18:18:00,5.16
25 March 2020 00:22:00,1.04
25 March 2020 06:29:00,5.35
25 March 2020 12:40:00,0.88
25 March 2020 18:48:00,5.25
26 March 2020 00:52:00,0.93
26 March 2020 06:59:00,5.39
26 March 2020 13:08:00,0.84
26 March 2020 19:16:00,5.28
27 March 2020 01:21:00,0.92
27 March 2020 07:27:00,5.37
27 March 2020 13:37:00,0.90
27 March 2020 19:44:00,5.24
28 March 2020 01:50:00,1.00
28 March 2020 07:56:00,5.27
28 March 2020 14:06:00,1.04
28 March 2020 20:12:00,5.16
29 March 2020 02:20:00,1.15
29 March 2020 08:26:00,5.12
29 March 2020 14:36:00,1.25
29 March 2020 20:42:00,5.02
30 March 2020 02:52:00,1.38
30 March 2020 08:59:00,4.93
30 March 2020 15:09:00,1.51
30 March 2020 21:17:00,4.86
31 March 2020 03:30:00,1.63
31 March 2020 09:38:00,4.69
31 March 2020 15:50:00,1.81
31 March 2020 22:00:00,4.65
01 April 2020 04:18:00,1.92
01 April 2020 10:30:00,4.44
01 April 2020 16:44:00,2.09
01 April 2020 22:59:00,4.47
02 April 2020 05:26:00,2.14
02 April 2020 11:44:00,4.24
02 April 2020 18:02:00,2.30
03 April 2020 00:26:00,4.38
03 April 2020 06:59:00,2.18
03 April 2020 13:22:00,4.24
03 April 2020 19:37:00,2.24
04 April 2020 01:57:00,4.52
04 April 2020 08:28:00,1.92
04 April 2020 14:48:00,4.48
04 April 2020 20:59:00,1.89
05 April 2020 03:14:00,4.86
05 April 2020 09:38:00,1.44
05 April 2020 15:53:00,4.86
05 April 2020 22:01:00,1.36
06 April 2020 04:13:00,5.25
06 April 2020 10:32:00,0.93
06 April 2020 16:46:00,5.22
06 April 2020 22:53:00,0.86
07 April 2020 05:05:00,5.57
07 April 2020 11:19:00,0.48
07 April 2020 17:34:00,5.53
07 April 2020 23:40:00,0.42
08 April 2020 05:53:00,5.81
08 April 2020 12:04:00,0.15
08 April 2020 18:19:00,5.73
09 April 2020 00:24:00,0.15
09 April 2020 06:38:00,5.91
09 April 2020 12:46:00,0.05
09 April 2020 19:01:00,5.80
10 April 2020 01:06:00,0.12
10 April 2020 07:20:00,5.85
10 April 2020 13:27:00,0.16
10 April 2020 19:41:00,5.75
11 April 2020 01:48:00,0.27
11 April 2020 08:00:00,5.68
11 April 2020 14:08:00,0.45
11 April 2020 20:19:00,5.58
12 April 2020 02:29:00,0.62
12 April 2020 08:39:00,5.39
12 April 2020 14:48:00,0.89
12 April 2020 20:57:00,5.30
13 April 2020 03:11:00,1.09
13 April 2020 09:21:00,5.02
13 April 2020 15:31:00,1.40
13 April 2020 21:41:00,4.97
14 April 2020 03:59:00,1.58
14 April 2020 10:08:00,4.63
14 April 2020 16:19:00,1.90
14 April 2020 22:32:00,4.61
15 April 2020 04:56:00,2.04
15 April 2020 11:10:00,4.27
15 April 2020 17:23:00,2.31
15 April 2020 23:41:00,4.32
16 April 2020 06:14:00,2.32
16 April 2020 12:35:00,4.06
16 April 2020 18:48:00,2.53
17 April 2020 01:09:00,4.20
17 April 2020 07:45:00,2.36
17 April 2020 14:08:00,4.09
17 April 2020 20:17:00,2.46
18 April 2020 02:31:00,4.31
18 April 2020 08:59:00,2.16
18 April 2020 15:16:00,4.29
18 April 2020 21:22:00,2.22
19 April 2020 03:30:00,4.52
19 April 2020 09:51:00,1.87
19 April 2020 16:04:00,4.54
19 April 2020 22:09:00,1.90
20 April 2020 04:14:00,4.76
20 April 2020 10:31:00,1.58
20 April 2020 16:42:00,4.76
20 April 2020 22:46:00,1.62
21 April 2020 04:51:00,4.96
21 April 2020 11:05:00,1.32
21 April 2020 17:15:00,4.97
21 April 2020 23:20:00,1.34
22 April 2020 05:26:00,5.14
22 April 2020 11:38:00,1.10
22 April 2020 17:47:00,5.13
22 April 2020 23:53:00,1.13
23 April 2020 05:59:00,5.25
23 April 2020 12:09:00,0.96
23 April 2020 18:18:00,5.25
24 April 2020 00:24:00,0.99
24 April 2020 06:30:00,5.30
24 April 2020 12:39:00,0.90
24 April 2020 18:47:00,5.29
25 April 2020 00:54:00,0.96
25 April 2020 07:00:00,5.28
25 April 2020 13:09:00,0.94
25 April 2020 19:16:00,5.28
26 April 2020 01:24:00,1.01
26 April 2020 07:31:00,5.21
26 April 2020 13:40:00,1.05
26 April 2020 19:48:00,5.22
27 April 2020 01:58:00,1.12
27 April 2020 08:04:00,5.08
27 April 2020 14:12:00,1.24
27 April 2020 20:20:00,5.11
28 April 2020 02:32:00,1.31
28 April 2020 08:39:00,4.90
28 April 2020 14:48:00,1.48
28 April 2020 20:57:00,4.96
29 April 2020 03:14:00,1.55
29 April 2020 09:22:00,4.68
29 April 2020 15:32:00,1.75
29 April 2020 21:44:00,4.78
30 April 2020 04:06:00,1.80
30 April 2020 10:18:00,4.47
30 April 2020 16:29:00,2.01
30 April 2020 22:46:00,4.62
01 May 2020 05:15:00,1.98
01 May 2020 11:32:00,4.32
01 May 2020 17:44:00,2.17
02 May 2020 00:04:00,4.55
02 May 2020 06:38:00,2.00
02 May 2020 13:00:00,4.34
02 May 2020 19:12:00,2.11
03 May 2020 01:30:00,4.66
03 May 2020 08:01:00,1.76
03 May 2020 14:21:00,4.57
03 May 2020 20:31:00,1.79
04 May 2020 02:44:00,4.93
04 May 2020 09:09:00,1.37
04 May 2020 15:26:00,4.90
04 May 2020 21:34:00,1.36
05 May 2020 03:45:00,5.22
05 May 2020 10:04:00,0.96
05 May 2020 16:19:00,5.21
05 May 2020 22:27:00,0.93
06 May 2020 04:38:00,5.47
06 May 2020 10:54:00,0.60
06 May 2020 17:09:00,5.48
06 May 2020 23:16:00,0.57
07 May 2020 05:28:00,5.65
07 May 2020 11:40:00,0.36
07 May 2020 17:54:00,5.65
08 May 2020 00:02:00,0.36
08 May 2020 06:14:00,5.70
08 May 2020 12:23:00,0.31
08 May 2020 18:36:00,5.71
09 May 2020 00:44:00,0.34
09 May 2020 06:56:00,5.63
09 May 2020 13:04:00,0.42
09 May 2020 19:16:00,5.66
10 May 2020 01:26:00,0.49
10 May 2020 07:37:00,5.47
10 May 2020 13:45:00,0.68
10 May 2020 19:56:00,5.51
11 May 2020 02:09:00,0.78
11 May 2020 08:18:00,5.22
11 May 2020 14:26:00,1.05
11 May 2020 20:36:00,5.27
12 May 2020 02:52:00,1.17
12 May 2020 09:00:00,4.91
12 May 2020 15:08:00,1.47
12 May 2020 21:18:00,4.99
13 May 2020 03:38:00,1.58
13 May 2020 09:48:00,4.59
13 May 2020 15:56:00,1.90
13 May 2020 22:08:00,4.67
14 May 2020 04:34:00,1.96
14 May 2020 10:46:00,4.30
14 May 2020 16:54:00,2.24
14 May 2020 23:09:00,4.43
15 May 2020 05:39:00,2.20
15 May 2020 11:57:00,4.12
15 May 2020 18:05:00,2.45
16 May 2020 00:22:00,4.29
16 May 2020 06:56:00,2.28
16 May 2020 13:17:00,4.11
16 May 2020 19:24:00,2.45
17 May 2020 01:37:00,4.32
17 May 2020 08:07:00,2.18
17 May 2020 14:26:00,4.24
17 May 2020 20:32:00,2.30
18 May 2020 02:41:00,4.45
18 May 2020 09:04:00,1.98
18 May 2020 15:19:00,4.44
18 May 2020 21:25:00,2.05
19 May 2020 03:30:00,4.63
19 May 2020 09:48:00,1.73
19 May 2020 16:00:00,4.66
19 May 2020 22:06:00,1.78
20 May 2020 04:11:00,4.82
20 May 2020 10:26:00,1.50
20 May 2020 16:37:00,4.86
20 May 2020 22:43:00,1.52
21 May 2020 04:49:00,4.98
21 May 2020 11:02:00,1.29
21 May 2020 17:13:00,5.04
21 May 2020 23:20:00,1.30
22 May 2020 05:26:00,5.09
22 May 2020 11:37:00,1.14
22 May 2020 17:46:00,5.16
22 May 2020 23:54:00,1.15
23 May 2020 06:01:00,5.15
23 May 2020 12:10:00,1.05
23 May 2020 18:20:00,5.25
24 May 2020 00:29:00,1.05
24 May 2020 06:36:00,5.17
24 May 2020 12:44:00,1.03
24 May 2020 18:54:00,5.29
25 May 2020 01:05:00,1.04
25 May 2020 07:12:00,5.13
25 May 2020 13:20:00,1.09
25 May 2020 19:30:00,5.27
26 May 2020 01:43:00,1.10
26 May 2020 07:50:00,5.04
26 May 2020 13:57:00,1.21
26 May 2020 20:07:00,5.21
27 May 2020 02:22:00,1.22
27 May 2020 08:30:00,4.91
27 May 2020 14:38:00,1.39
27 May 2020 20:49:00,5.10
28 May 2020 03:08:00,1.39
28 May 2020 09:17:00,4.75
28 May 2020 15:25:00,1.61
28 May 2020 21:38:00,4.96
29 May 2020 04:02:00,1.59
29 May 2020 10:14:00,4.59
29 May 2020 16:22:00,1.81
29 May 2020 22:37:00,4.84
30 May 2020 05:05:00,1.72
30 May 2020 11:20:00,4.49
30 May 2020 17:29:00,1.94
30 May 2020 23:45:00,4.76
31 May 2020 06:16:00,1.75
31 May 2020 12:34:00,4.50
31 May 2020 18:44:00,1.92
01 June 2020 01:00:00,4.79
01 June 2020 07:29:00,1.64
01 June 2020 13:48:00,4.64
01 June 2020 19:59:00,1.74
02 June 2020 02:13:00,4.92
02 June 2020 08:37:00,1.41
02 June 2020 14:54:00,4.88
02 June 2020 21:05:00,1.44
03 June 2020 03:16:00,5.10
03 June 2020 09:36:00,1.13
03 June 2020 15:51:00,5.12
03 June 2020 22:01:00,1.13
04 June 2020 04:12:00,5.26
04 June 2020 10:28:00,0.89
04 June 2020 16:42:00,5.33
04 June 2020 22:53:00,0.86
05 June 2020 05:04:00,5.37
05 June 2020 11:16:00,0.73
05 June 2020 17:29:00,5.47
05 June 2020 23:40:00,0.71
06 June 2020 05:51:00,5.41
06 June 2020 12:01:00,0.69
06 June 2020 18:14:00,5.53
07 June 2020 00:26:00,0.68
07 June 2020 06:36:00,5.36
07 June 2020 12:44:00,0.76
07 June 2020 18:56:00,5.51
08 June 2020 01:09:00,0.76
08 June 2020 07:19:00,5.25
08 June 2020 13:26:00,0.92
08 June 2020 19:37:00,5.41
09 June 2020 01:52:00,0.95
09 June 2020 08:01:00,5.08
09 June 2020 14:07:00,1.18
09 June 2020 20:17:00,5.24
10 June 2020 02:35:00,1.22
10 June 2020 08:43:00,4.86
10 June 2020 14:49:00,1.48
10 June 2020 20:59:00,5.04
11 June 2020 03:19:00,1.50
11 June 2020 09:27:00,4.65
11 June 2020 15:34:00,1.78
11 June 2020 21:44:00,4.81
12 June 2020 04:07:00,1.78
12 June 2020 10:16:00,4.44
12 June 2020 16:22:00,2.04
12 June 2020 22:33:00,4.61
13 June 2020 04:59:00,2.00
13 June 2020 11:12:00,4.28
13 June 2020 17:19:00,2.25
13 June 2020 23:32:00,4.45
14 June 2020 06:01:00,2.14
14 June 2020 12:16:00,4.20
14 June 2020 18:22:00,2.35
15 June 2020 00:34:00,4.38
15 June 2020 07:03:00,2.16
15 June 2020 13:20:00,4.22
15 June 2020 19:27:00,2.33
16 June 2020 01:39:00,4.39
16 June 2020 08:04:00,2.09
16 June 2020 14:21:00,4.34
16 June 2020 20:28:00,2.18
17 June 2020 02:36:00,4.50
17 June 2020 08:57:00,1.93
17 June 2020 15:12:00,4.51
17 June 2020 21:20:00,1.98
18 June 2020 03:27:00,4.63
18 June 2020 09:44:00,1.74
18 June 2020 15:57:00,4.70
18 June 2020 22:06:00,1.75
19 June 2020 04:12:00,4.77
19 June 2020 10:27:00,1.54
19 June 2020 16:39:00,4.89
19 June 2020 22:49:00,1.51
20 June 2020 04:56:00,4.91
20 June 2020 11:07:00,1.35
20 June 2020 17:18:00,5.07
20 June 2020 23:29:00,1.30
21 June 2020 05:37:00,5.02
21 June 2020 11:47:00,1.19
21 June 2020 17:58:00,5.22
22 June 2020 00:10:00,1.11
22 June 2020 06:18:00,5.09
22 June 2020 12:26:00,1.09
22 June 2020 18:37:00,5.31
23 June 2020 00:51:00,1.02
23 June 2020 06:59:00,5.11
23 June 2020 13:06:00,1.06
23 June 2020 19:17:00,5.36
24 June 2020 01:31:00,0.98
24 June 2020 07:41:00,5.09
24 June 2020 13:47:00,1.08
24 June 2020 19:59:00,5.37
25 June 2020 02:15:00,1.01
25 June 2020 08:24:00,5.03
25 June 2020 14:31:00,1.18
25 June 2020 20:42:00,5.30
26 June 2020 03:01:00,1.12
26 June 2020 09:11:00,4.93
26 June 2020 15:18:00,1.32
26 June 2020 21:31:00,5.20
27 June 2020 03:52:00,1.26
27 June 2020 10:04:00,4.82
27 June 2020 16:12:00,1.50
27 June 2020 22:25:00,5.07
28 June 2020 04:49:00,1.43
28 June 2020 11:02:00,4.71
28 June 2020 17:11:00,1.67
28 June 2020 23:25:00,4.93
29 June 2020 05:51:00,1.56
29 June 2020 12:07:00,4.65
29 June 2020 18:18:00,1.76
30 June 2020 00:32:00,4.84
30 June 2020 06:58:00,1.61
