Par
GMT (+0:00)
Date/Time,Height(m)
01 January 2022 04:03:00,4.83
01 January 2022 10:26:00,1.00
01 January 2022 16:28:00,4.97
01 January 2022 22:55:00,0.80
02 January 2022 04:57:00,5.06
02 January 2022 11:22:00,0.71
02 January 2022 17:22:00,5.08
02 January 2022 23:46:00,0.62
03 January 2022 05:48:00,5.22
03 January 2022 12:14:00,0.52
03 January 2022 18:14:00,5.13
04 January 2022 00:35:00,0.51
04 January 2022 06:36:00,5.32
04 January 2022 13:02:00,0.45
04 January 2022 19:02:00,5.11
05 January 2022 01:22:00,0.55
05 January 2022 07:22:00,5.32
05 January 2022 13:49:00,0.52
05 January 2022 19:48:00,5.02
06 January 2022 02:06:00,0.69
06 January 2022 08:06:00,5.24
06 January 2022 14:34:00,0.70
06 January 2022 20:32:00,4.87
07 January 2022 02:51:00,0.93
07 January 2022 08:50:00,5.08
07 January 2022 15:20:00,0.97
07 January 2022 21:18:00,4.67
08 January 2022 03:36:00,1.23
08 January 2022 09:36:00,4.87
08 January 2022 16:06:00,1.28
08 January 2022 22:05:00,4.45
09 January 2022 04:21:00,1.55
09 January 2022 10:24:00,4.64
09 January 2022 16:55:00,1.58
09 January 2022 22:56:00,4.25
10 January 2022 05:11:00,1.83
10 January 2022 11:15:00,4.41
10 January 2022 17:48:00,1.83
10 January 2022 23:53:00,4.07
11 January 2022 06:08:00,2.06
11 January 2022 12:16:00,4.23
11 January 2022 18:50:00,2.00
12 January 2022 01:00:00,3.99
12 January 2022 07:15:00,2.17
12 January 2022 13:22:00,4.14
12 January 2022 19:55:00,2.04
13 January 2022 02:05:00,4.00
13 January 2022 08:22:00,2.15
13 January 2022 14:27:00,4.15
13 January 2022 20:57:00,1.97
14 January 2022 03:07:00,4.11
14 January 2022 09:23:00,2.02
14 January 2022 15:25:00,4.23
14 January 2022 21:50:00,1.83
15 January 2022 03:57:00,4.28
15 January 2022 10:15:00,1.82
15 January 2022 16:15:00,4.36
15 January 2022 22:38:00,1.64
16 January 2022 04:41:00,4.46
16 January 2022 11:01:00,1.59
16 January 2022 16:58:00,4.50
16 January 2022 23:19:00,1.45
17 January 2022 05:20:00,4.65
17 January 2022 11:42:00,1.37
17 January 2022 17:38:00,4.62
17 January 2022 23:58:00,1.27
18 January 2022 05:57:00,4.81
18 January 2022 12:19:00,1.17
18 January 2022 18:15:00,4.71
19 January 2022 00:34:00,1.13
19 January 2022 06:32:00,4.93
19 January 2022 12:56:00,1.03
19 January 2022 18:52:00,4.77
20 January 2022 01:09:00,1.03
20 January 2022 07:07:00,5.02
20 January 2022 13:31:00,0.94
20 January 2022 19:26:00,4.79
21 January 2022 01:43:00,0.98
21 January 2022 07:41:00,5.06
21 January 2022 14:07:00,0.92
21 January 2022 20:02:00,4.78
22 January 2022 02:19:00,1.00
22 January 2022 08:17:00,5.05
22 January 2022 14:43:00,0.96
22 January 2022 20:38:00,4.72
23 January 2022 02:55:00,1.09
23 January 2022 08:55:00,4.99
